All
8204,75
13551,67
20248,78
28555,00
33502,56
36500,11
47134,22
52970,00
57803,89
69175,00
1939,61
3042,64
4646,65
5924,24
6232,86
5642,70
9257,70
11876,20
12426,07
15195,27
6781,54
13482,77
17201,87
23085,68
28223,00
34219,37
37826,53
42871,57
44491,90
51240,03
995,27
1356,86
1839,16
2809,18
3732,41
3806,58
4273,61
4689,84
5130,08
9514,31
8984,25
18440,13
18775,60
29396,00
32429,17
30355,40
51015,20
41860,67
45248,33
49578,40
1642,49
4598,68
3261,77
5418,33
6338,16
1563,29
7385,79
2116,81
6506,01
3107,84
