127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/images/folder_locked.png, HTTP/1.1, 200, 0.000612
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/images/folder.png, HTTP/1.1, 200, 0.000572
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/images/questions.png, HTTP/1.1, 200, 0.001815
127.0.0.1, 2015-05-07 20:37:50, GET, /admin/static/_2.10.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000468
127.0.0.1, 2015-05-07 20:37:51, POST, /admin/default/check_version, HTTP/1.1, 200, 1.135854
127.0.0.1, 2015-05-07 20:41:16, POST, /admin/default/site, HTTP/1.1, 303, 0.168078
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/default/design/ga_server, HTTP/1.1, 200, 0.191671
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.000550
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.001256
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.002817
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.001274
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000607
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000567
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000394
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000365
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000745
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000519
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000493
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000490
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/images/help.png, HTTP/1.1, 200, 0.000335
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/images/search.png, HTTP/1.1, 200, 0.001210
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/images/delete_icon.png, HTTP/1.1, 200, 0.001956
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.001235
127.0.0.1, 2015-05-07 20:41:16, GET, /admin/static/_2.10.4/images/test_icon.png, HTTP/1.1, 200, 0.001077
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/default/edit/ga_server/models/db.py, HTTP/1.1, 200, 0.057614
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.000406
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.000814
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.001363
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.000930
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000571
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000789
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.002487
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002440
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001554
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003324
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004394
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003009
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001184
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000785
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000397
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001723
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002802
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.003489
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002526
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001289
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001699
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002604
